,dsc_linea,cantidad_pasajeros,decile_rank
0,103,196441.5,9
1,G,136088.5,9
2,183,127214.0,9
3,185,126731.5,9
4,306,122628.0,9
5,145,121993.0,9
6,181,119203.0,9
7,163,107894.0,9
8,300,107310.5,9
9,137,105571.0,9
10,405,105105.5,9
11,546,104651.0,9
12,110,104645.5,9
